match_id,cmp_id,homeTeamId,awayTeamId,startTime,endTime,startDate,startingTime,courtId,courtName,quaterFinal,semiFinals,final,referee_id,winningTeam,losingTeam,winningTeamGoals,losingTeamGoals,winningTeamPoints,losingTeamPoints,status,round,isDraw,last_match,is_bye,note,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,competitionName,seasonName
97949,430,21,20,5/26/2023 21:15,5/26/2023 22:30,5/26/2023,21:15:00,11,Series Futsal Arena,,,,1,20,21,5,4,3,0,Completed,18,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97950,430,17,325,5/26/2023 18:45,5/26/2023 20:00,5/26/2023,18:45:00,11,Series Futsal Arena,,,,1,17,325,4,1,3,0,Completed,18,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97951,430,22,19,5/26/2023 22:30,5/26/2023 23:45,5/26/2023,22:30:00,11,Series Futsal Arena,,,,1,19,22,4,3,0,0,Completed,18,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97952,430,331,18,5/26/2023 20:00,5/26/2023 21:15,5/26/2023,20:00:00,11,Series Futsal Arena,,,,1,18,331,6,2,3,0,Completed,18,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97953,430,325,22,6/2/2023 18:45,6/2/2023 20:00,6/2/2023,18:45:00,11,Series Futsal Arena,,,,1,325,22,5,3,3,0,Completed,19,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97954,430,19,331,6/2/2023 22:30,6/2/2023 23:45,6/2/2023,22:30:00,11,Series Futsal Arena,,,,1,19,331,4,3,0,0,Completed,19,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97955,430,21,17,6/2/2023 21:15,6/2/2023 22:30,6/2/2023,21:15:00,11,Series Futsal Arena,,,,1,17,21,3,2,3,0,Completed,19,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97956,430,18,20,6/2/2023 20:00,6/2/2023 21:15,6/2/2023,20:00:00,11,Series Futsal Arena,,,,1,18,20,3,2,3,0,Completed,19,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97957,430,325,20,6/9/2023 21:15,6/9/2023 22:30,6/9/2023,21:15:00,11,Series Futsal Arena,,,,1,325,20,7,6,0,0,Completed,20,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97958,430,18,22,6/9/2023 22:30,6/9/2023 23:45,6/9/2023,22:30:00,11,Series Futsal Arena,,,,1,18,22,9,2,3,0,Completed,20,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
